genero,media_dancabilidade,media_energia,media_alegria,bpm_medio,total_musicas
acoustic,0.55,0.435,0.424,119.0,1000
afrobeat,0.669,0.703,0.698,119.2,999
alt-rock,0.535,0.754,0.518,124.7,999
alternative,0.596,0.685,0.477,119.7,407
ambient,0.368,0.237,0.167,111.2,999
anime,0.538,0.674,0.435,123.6,995
black-metal,0.297,0.875,0.192,128.7,996
bluegrass,0.535,0.53,0.635,126.6,998
blues,0.569,0.577,0.607,117.0,938
brazil,0.564,0.612,0.461,121.7,937
breakbeat,0.646,0.853,0.475,133.1,997
british,0.504,0.502,0.435,118.2,900
cantopop,0.548,0.462,0.393,124.3,999
chicago-house,0.766,0.733,0.587,123.9,998
children,0.715,0.493,0.694,123.5,974
chill,0.666,0.43,0.408,115.4,972
classical,0.386,0.197,0.392,108.0,867
club,0.604,0.723,0.369,123.3,994
comedy,0.577,0.701,0.453,100.8,990
country,0.555,0.592,0.513,124.3,946
dance,0.691,0.707,0.553,120.3,948
dancehall,0.731,0.688,0.632,113.7,939
death-metal,0.37,0.932,0.25,123.4,901
deep-house,0.711,0.741,0.447,120.8,972
detroit-techno,0.723,0.708,0.469,126.4,956
disco,0.673,0.735,0.679,122.2,928
disney,0.463,0.303,0.369,112.0,998
drum-and-bass,0.532,0.876,0.317,155.2,955
dub,0.57,0.712,0.373,129.4,933
dubstep,0.526,0.77,0.255,133.4,268
edm,0.656,0.752,0.462,121.6,694
electro,0.65,0.61,0.457,120.9,596
electronic,0.658,0.691,0.396,123.2,830
emo,0.601,0.668,0.441,127.0,932
folk,0.562,0.558,0.488,118.1,841
forro,0.65,0.79,0.76,140.4,998
french,0.656,0.595,0.435,117.8,890
funk,0.692,0.613,0.607,118.7,767
garage,0.477,0.744,0.522,127.5,901
german,0.544,0.567,0.387,119.1,731
gospel,0.477,0.575,0.33,124.7,672
goth,0.483,0.731,0.454,124.2,907
grindcore,0.272,0.926,0.217,119.2,985
groove,0.554,0.733,0.405,123.4,636
grunge,0.455,0.805,0.401,130.0,862
guitar,0.552,0.339,0.451,112.4,886
happy,0.553,0.911,0.328,153.0,995
hard-rock,0.479,0.807,0.51,126.8,709
hardcore,0.551,0.839,0.519,122.8,757
hardstyle,0.531,0.899,0.31,146.7,898
heavy-metal,0.428,0.874,0.388,126.6,997
hip-hop,0.73,0.695,0.553,118.4,842
honky-tonk,0.572,0.367,0.633,116.6,981
house,0.681,0.736,0.528,122.5,210
idm,0.527,0.556,0.303,123.3,990
indian,0.586,0.555,0.448,115.2,733
indie,0.578,0.641,0.492,120.8,134
indie-pop,0.608,0.554,0.472,120.5,601
industrial,0.539,0.855,0.432,126.8,845
iranian,0.3,0.545,0.153,114.6,988
j-dance,0.678,0.707,0.574,115.5,764
j-idol,0.549,0.868,0.577,136.1,995
j-pop,0.562,0.641,0.544,122.9,728
j-rock,0.514,0.727,0.555,128.3,460
jazz,0.489,0.309,0.487,115.7,524
k-pop,0.642,0.683,0.569,119.5,916
kids,0.779,0.614,0.682,121.8,986
latin,0.727,0.724,0.624,121.3,759
latino,0.755,0.712,0.622,121.4,398
malay,0.629,0.576,0.501,119.3,988
mandopop,0.547,0.509,0.353,123.6,873
metal,0.481,0.841,0.425,129.5,232
metalcore,0.427,0.902,0.329,130.3,718
minimal-techno,0.732,0.683,0.284,124.9,885
mpb,0.574,0.564,0.553,118.9,780
new-age,0.348,0.213,0.182,108.1,974
opera,0.31,0.295,0.212,104.7,852
pagode,0.564,0.712,0.697,126.9,845
party,0.667,0.869,0.676,131.1,820
piano,0.463,0.342,0.325,118.2,794
pop,0.581,0.579,0.477,121.4,416
pop-film,0.591,0.6,0.529,117.0,815
power-pop,0.474,0.804,0.616,134.5,891
progressive-house,0.617,0.822,0.356,125.8,755
psych-rock,0.497,0.551,0.559,121.8,635
punk,0.507,0.776,0.554,134.1,226
punk-rock,0.522,0.805,0.596,131.5,665
r-n-b,0.645,0.589,0.652,121.5,489
reggae,0.728,0.699,0.66,124.1,256
reggaeton,0.743,0.737,0.674,122.0,74
rock,0.549,0.648,0.478,121.4,342
rock-n-roll,0.547,0.512,0.662,119.4,837
rockabilly,0.567,0.679,0.738,122.6,645
romance,0.432,0.299,0.395,109.8,904
sad,0.702,0.479,0.44,119.4,564
salsa,0.669,0.724,0.814,119.8,988
samba,0.57,0.694,0.705,117.4,631
sertanejo,0.593,0.702,0.613,126.0,826
show-tunes,0.472,0.404,0.384,114.7,901
singer-songwriter,0.55,0.417,0.371,123.7,527
ska,0.59,0.796,0.719,129.2,746
sleep,0.167,0.343,0.058,84.5,997
soul,0.63,0.552,0.501,115.4,445
spanish,0.601,0.706,0.547,122.8,941
study,0.685,0.411,0.403,111.8,998
swedish,0.598,0.617,0.544,120.9,766
synth-pop,0.612,0.717,0.576,123.6,838
tango,0.538,0.373,0.584,114.5,999
techno,0.683,0.777,0.334,129.0,416
trance,0.585,0.845,0.256,135.3,708
trip-hop,0.642,0.622,0.479,118.8,904
turkish,0.627,0.62,0.464,121.1,870
world-music,0.414,0.535,0.251,120.8,923
