musica,artista,genero,popularidade,danceability,energy,valence,bpm,loudness,status_hit
Comedy,Gen Hoshino,acoustic,73,0.676,0.461,0.715,87.917,-6.746,Hit
Ghost - Acoustic,Ben Woodward,acoustic,55,0.42,0.166,0.267,77.489,-17.235,Normal
To Begin Again,Ingrid Michaelson;ZAYN,acoustic,57,0.438,0.359,0.12,76.332,-9.734,Normal
Can't Help Falling In Love,Kina Grannis,acoustic,71,0.266,0.0596,0.143,181.74,-18.515,Hit
Hold On,Chord Overstreet,acoustic,82,0.618,0.443,0.167,119.949,-9.681,Hit
Days I Will Remember,Tyrone Wells,acoustic,58,0.688,0.481,0.666,98.017,-8.807,Normal
Say Something,A Great Big World;Christina Aguilera,acoustic,74,0.407,0.147,0.0765,141.284,-8.822,Hit
I'm Yours,Jason Mraz,acoustic,80,0.703,0.444,0.712,150.96,-9.331,Hit
Lucky,Jason Mraz;Colbie Caillat,acoustic,74,0.625,0.414,0.669,130.088,-8.7,Hit
Hunger,Ross Copperman,acoustic,56,0.442,0.632,0.196,78.899,-6.77,Normal
Give Me Your Forever,Zack Tabudlo,acoustic,74,0.627,0.363,0.301,99.905,-8.127,Hit
I Won't Give Up,Jason Mraz,acoustic,69,0.483,0.303,0.139,133.406,-10.058,Normal
Solo,Dan Berk,acoustic,52,0.489,0.314,0.607,124.234,-9.245,Normal
Bad Liar,Anna Hamilton,acoustic,62,0.691,0.234,0.209,87.103,-6.441,Normal
Hold On - Remix,Chord Overstreet;Deepend,acoustic,56,0.755,0.78,0.387,120.004,-6.084,Normal
Falling in Love at a Coffee Shop,Landon Pigg,acoustic,58,0.489,0.561,0.238,83.457,-7.933,Normal
ily (i love you baby),Andrew Foy;Renee Foy,acoustic,56,0.706,0.112,0.414,110.154,-18.098,Normal
At My Worst,Andrew Foy;Renee Foy,acoustic,54,0.795,0.0841,0.609,91.803,-18.09,Normal
Lucky,Jason Mraz;Colbie Caillat,acoustic,68,0.625,0.414,0.669,130.088,-8.7,Normal
Photograph,Boyce Avenue;Bea Miller,acoustic,67,0.717,0.32,0.322,107.946,-8.393,Normal
I'm Yours,Jason Mraz,acoustic,75,0.703,0.444,0.712,150.96,-9.331,Hit
Demons,Boyce Avenue;Jennel Garcia,acoustic,63,0.678,0.351,0.569,90.032,-8.654,Normal
Say Something,A Great Big World;Christina Aguilera,acoustic,70,0.407,0.147,0.0765,141.284,-8.822,Hit
93 Million Miles,Jason Mraz,acoustic,0,0.572,0.454,0.515,140.182,-10.286,Normal
Unlonely,Jason Mraz,acoustic,0,0.796,0.667,0.754,97.988,-4.831,Normal
Bella Luna,Jason Mraz,acoustic,1,0.755,0.454,0.33,120.06,-9.609,Normal
Winter Wonderland,Jason Mraz,acoustic,0,0.62,0.309,0.664,145.363,-9.209,Normal
If It Kills Me,Jason Mraz,acoustic,0,0.633,0.429,0.52,143.793,-6.784,Normal
Winter Wonderland,Jason Mraz,acoustic,0,0.62,0.309,0.664,145.363,-9.209,Normal
Winter Wonderland,Jason Mraz,acoustic,0,0.62,0.309,0.664,145.363,-9.209,Normal
Winter Wonderland,Jason Mraz,acoustic,0,0.62,0.309,0.664,145.363,-9.209,Normal
Winter Wonderland,Jason Mraz,acoustic,0,0.62,0.309,0.664,145.363,-9.209,Normal
All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,0,0.593,0.455,0.564,202.019,-8.192,Normal
Party of One,Brandi Carlile;Sam Smith,acoustic,0,0.296,0.206,0.202,165.4,-11.799,Normal
Party of One,Brandi Carlile;Sam Smith,acoustic,0,0.296,0.206,0.202,165.4,-11.799,Normal
Party of One,Brandi Carlile;Sam Smith,acoustic,0,0.296,0.206,0.202,165.4,-11.799,Normal
Lonely This Christmas,KT Tunstall,acoustic,0,0.409,0.153,0.18,85.262,-10.74,Normal
Throwing Good After Bad,Brandi Carlile,acoustic,0,0.501,0.0952,0.316,138.016,-12.931,Normal
This Time Tomorrow,Brandi Carlile,acoustic,0,0.606,0.326,0.414,91.626,-10.031,Normal
Lonely This Christmas,KT Tunstall,acoustic,0,0.409,0.153,0.18,85.262,-10.74,Normal
