artista,total_musicas,popularidade_media
Bad Bunny,22,85.4
Eminem,6,81.2
Ariana Grande,9,80.8
Mitski,6,78.3
Clairo,6,76.3
Maluma,8,75.3
Travis Scott,15,74.9
Frank Ocean,17,74.7
Labrinth,7,74.6
The Neighbourhood,25,73.9
Limp Bizkit,6,73.8
Radiohead,11,73.5
George Ezra,8,73.4
aespa,7,73.1
Stray Kids,22,73.1
System Of A Down,12,72.8
TWICE,17,72.5
Bob Marley & The Wailers,8,72.3
ITZY,7,72.1
blackbear,8,71.6
SEVENTEEN,14,71.4
Eagles,8,71.3
2Pac,8,70.9
MARINA,6,70.8
Halsey,16,70.6
TOMORROW X TOGETHER,13,70.5
Red Velvet,6,69.8
BLACKPINK,40,69.8
The 1975,23,69.6
Aerosmith,15,69.4
j-hope,10,69.2
Lil Tjay,13,69.0
Van Halen,10,68.3
Lil Peep;Lil Tracy,7,68.3
AC/DC,28,68.1
Tom Odell,10,68.1
Ozzy Osbourne,7,68.0
BTS,143,67.9
Amy Winehouse,16,67.7
Darshan Raval,8,67.4
Sufjan Stevens,8,67.3
Journey,9,67.3
Metallica,27,67.2
Greta Van Fleet,6,67.2
Tai Verdes,8,67.0
Sabaton,6,66.5
Led Zeppelin,23,66.3
Clinton Kane,9,66.2
Lil Peep,31,66.1
Tom Walker,6,66.0
Sum 41,9,65.8
Bea Miller,6,65.8
TOOL,8,65.6
Anirudh Ravichander;Jonita Gandhi,6,65.5
Sainte,6,65.5
Incubus,7,65.4
"Earth, Wind & Fire",6,65.3
John Mayer,31,65.2
Ozuna,13,65.2
Adele,49,65.1
Cage The Elephant,14,65.1
Alphaville,6,65.0
Tegi Pannu;Manni Sandhu,6,65.0
mehro,6,64.8
Alan Walker,11,64.8
Pritam;Arijit Singh;Amitabh Bhattacharya,9,64.6
Def Leppard,10,64.6
Sara Bareilles,7,64.6
Kenshi Yonezu,12,64.5
Guns N' Roses,24,64.3
Vaundy,9,64.2
Foo Fighters,23,64.2
Falling In Reverse,14,64.1
Anuv Jain,10,64.1
Sade,11,64.1
YOASOBI,30,63.9
Judas Priest,6,63.7
Three Days Grace,28,63.7
Electric Callboy,9,63.3
Elton John,32,63.2
DMX,8,63.1
Lauv,17,63.1
Eric Clapton,7,63.1
Anirudh Ravichander,26,63.0
Iron Maiden,16,63.0
Leona Lewis,6,63.0
Karan Aujla,9,62.9
Doja Cat,8,62.9
Armaan Malik,8,62.8
Cigarettes After Sex,35,62.8
The Fray,10,62.7
Sidhu Moose Wala;Sunny Malton,7,62.7
The White Stripes,10,62.7
Sidhu Moose Wala,39,62.6
ENHYPEN,39,62.6
Hozier,19,62.5
KK,11,62.5
Atif Aslam,11,62.5
Yusuf / Cat Stevens,11,62.5
Jimi Hendrix,15,62.5
XXXTENTACION,67,62.4
Hollow Coves,9,62.3
Becky G,6,62.3
Huma,6,62.2
Yo Yo Honey Singh,11,62.2
The Who,10,62.2
DIVINE,7,62.0
Rammstein,75,62.0
Papithbk,8,61.9
Diljit Dosanjh,16,61.9
Wham!,10,61.9
Mohit Chauhan,6,61.8
King,19,61.8
XXXTENTACION;Ski Mask The Slump God,6,61.8
Zack Tabudlo,16,61.8
Nas,16,61.7
Fito y Fitipaldis,8,61.5
MC STAN,10,61.5
The Score,22,61.5
Nirvana,63,61.5
Jeet Gannguli;Arijit Singh,8,61.4
Motionless In White,16,61.4
Passenger,7,61.4
Craig David,6,61.3
347aidan,9,61.2
JEON SOMI,6,61.2
Jordan Sandhu,6,61.2
The Strokes,43,61.2
The Smiths,13,61.1
Joe Hisaishi,8,61.0
Mustafa Zahid,6,60.8
The Cure,7,60.6
A.R. Rahman,7,60.6
6ix9ine,10,60.6
Zara Larsson,17,60.6
Connor Price,8,60.5
I Prevail,31,60.5
MC 張天賦,6,60.5
Bring Me The Horizon,46,60.4
Harold Faltermeyer;Lady Gaga;Hans Zimmer;Lorne Balfe,8,60.3
The Beatles,149,60.3
Tom Rosenthal,9,60.3
Arijit Singh,42,60.2
Brando,6,60.2
Paloma Faith,6,60.2
yama,7,60.0
Devin Kennedy,6,60.0
Kumar Sanu;Alka Yagnik,8,59.8
Bad Omens,18,59.7
Stone Sour,6,59.7
thuy,9,59.6
Maximillian,6,59.5
Ben Howard,13,59.5
Darci,7,59.4
Arden Jones,9,59.4
Emiway Bantai,6,59.3
Nick Drake,9,59.3
Natos y Waor,10,59.2
Mokita,12,59.2
Alice In Chains,21,59.2
Parkway Drive,13,59.1
M83,10,59.1
Melendi,9,59.0
Pritam;Arijit Singh,43,59.0
Jefferson Airplane,6,59.0
Pearl Jam,28,59.0
Shankar Mahadevan,7,58.9
Raimu,12,58.9
Mild High Club,6,58.8
Dani Fernández,6,58.7
iamjakehill,16,58.7
The Jacksons,6,58.7
Paul Young,6,58.7
Yxngxr1,7,58.7
Linked Horizon,9,58.7
Ankit Tiwari,8,58.6
keshi,36,58.6
Leiva,6,58.5
PLÜM,11,58.5
The Blaze,11,58.5
Seafret,13,58.5
Anna Landström,6,58.3
IZAL,10,58.2
Ado,18,58.2
Aimer,15,58.1
Marconi Union,7,58.1
Karthik,6,58.0
Escape the Fate,7,58.0
ODESZA,6,58.0
LiSA,18,58.0
Yann Tiersen,9,58.0
Aaryan Shah,8,57.9
Rahat Fateh Ali Khan,7,57.9
MR TOUT LE MONDE,12,57.9
"Crosby, Stills, Nash & Young",6,57.8
Crumb,10,57.7
DaniSogen,6,57.7
Tina Turner,8,57.6
Tenno,12,57.6
Bobby Darin,10,57.5
The Cab,6,57.5
Eric Chou,19,57.4
Good Morning,8,57.3
flora cash,6,57.3
Fujii Kaze,22,57.2
Weston Estate,9,57.2
Kochetkovv,9,57.2
No Vacation,9,57.1
Khantrast,9,57.1
Firehouse,7,57.0
Seether,12,57.0
FLOW,7,57.0
Adam Jensen,10,57.0
高爾宣 OSN,7,56.9
Yugo Kanno,7,56.9
Aphex Twin,12,56.9
Ray LaMontagne,11,56.9
Pritam;Mohit Chauhan,9,56.8
Slipknot,25,56.8
The Everly Brothers,9,56.7
Billy Joel,36,56.7
Fiji Blue,15,56.7
Nickelback,29,56.7
Arctic Monkeys,110,56.6
MASN,10,56.6
Bethel Music;Jonathan David Helser;Melissa Helser,7,56.6
Sik World,6,56.5
Deftones,8,56.5
Shady Moon,7,56.4
dhruv,14,56.4
KANA-BOON,7,56.4
Avenged Sevenfold,23,56.4
Ben Rector,8,56.4
Vetusta Morla,6,56.3
Beast In Black,13,56.3
My Darkest Days,8,56.3
Five Finger Death Punch,45,56.3
shy martin,12,56.3
SHRK;Shiloh Dynasty,10,56.3
John Powell,7,56.3
Joshua Hyslop,7,56.3
Keenan Te,11,56.2
Green Day,23,56.2
JVKE,13,56.2
Brothers of Metal,9,56.2
Jamie xx,6,56.2
Otaku,11,56.2
Ludovico Einaudi,41,56.2
Andrew Belle,14,56.1
Cascada,7,56.0
"Crosby, Stills & Nash",6,56.0
Ramin Djawadi,16,55.8
The Minions,6,55.8
美波,6,55.8
Chris Cornell,10,55.8
Cory Asbury,11,55.7
Aries,18,55.7
Yuvan Shankar Raja;Sid Sriram,6,55.7
Currents,6,55.7
L'Impératrice,9,55.6
Enrique Iglesias,6,55.5
Sub Zero Project,10,55.5
demxntia,8,55.5
Badfinger,11,55.5
Estopa,14,55.4
Deep Chills,7,55.4
The Offspring,9,55.3
Killswitch Engage,9,55.2
Pritam;Arijit Singh;Antara Mitra,6,55.2
Eve,25,55.2
Creed,19,55.2
Pink Floyd,86,55.1
As I Lay Dying,7,55.0
Trivium,9,55.0
Prigida,6,55.0
BURNOUT SYNDROMES,8,54.9
Slayer,17,54.9
TCM,6,54.8
Breaking Benjamin,32,54.8
ReoNa,6,54.7
Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,6,54.7
Roo Panes,7,54.6
Novo Amor,35,54.6
Polaris,6,54.5
Banes World,6,54.5
Rilès,10,54.5
UVERworld,8,54.5
Our Last Night,17,54.4
Kasabian,9,54.4
Summer Salt,7,54.4
Ikimonogakari,8,54.4
Cavetown,7,54.3
The Notorious B.I.G.,26,54.3
Michael Kiwanuka,7,54.3
CHiCO with HoneyWorks,6,54.3
Parachute,9,54.2
sammy rash,10,54.1
Neil Sedaka,7,54.1
告五人,16,54.1
Audioslave,16,54.1
Roy Orbison,11,54.0
N.W.A.,9,54.0
Zaeden,10,54.0
The Bangles,9,54.0
Nils Frahm,8,54.0
Fireboy DML,15,53.9
Pantera,18,53.9
Kina Grannis,15,53.9
gavn!,8,53.8
The Doors,26,53.8
Ronghao Li,8,53.8
Tanya Chua,10,53.8
CASTLEBEAT,10,53.8
Novo Amor;Ed Tullett;Lowswimmer,8,53.8
Gorillaz,6,53.8
ssshhhiiittt!,7,53.7
A-Mei Chang,7,53.7
Koffee,12,53.7
Ólafur Arnalds,10,53.6
The Black Keys,15,53.6
Jubin Nautiyal,17,53.5
DJ Snake,8,53.5
Asking Alexandria,15,53.4
Matchbox Twenty,10,53.4
Blippi,8,53.4
Sleeping At Last,40,53.4
12 Stones,6,53.3
Marshmello,15,53.3
Hole,7,53.3
Hardwell,10,53.2
King Crimson,6,53.2
Billie Marten,11,53.2
Elvis Presley,105,53.1
Deep Purple,20,53.1
Josh Gad,6,53.0
The Plot In You,10,53.0
Gracie Abrams,9,53.0
Omah Lay,20,53.0
Dario Marianelli;Jean-Yves Thibaudet,6,53.0
Boyce Avenue,27,53.0
Pritam;KK,18,52.9
FACE,18,52.9
My Chemical Romance,32,52.8
Slaughter to Prevail,11,52.8
SPYAIR,8,52.8
Rarin,9,52.7
Swedish House Mafia;The Weeknd,7,52.7
JJ Lin,29,52.6
Fish Leong,10,52.6
Ritviz,19,52.6
Jacob David,7,52.6
John Adams,7,52.6
G.E.M.,42,52.5
Nicholas Hooper,6,52.5
Henrique & Juliano,72,52.3
Louyah,7,52.3
Josh A,12,52.3
Chromatics,7,52.3
Suicide Silence,6,52.3
Zachary Knowles,10,52.3
Cyndi Wang,10,52.2
Jay Chou,93,52.2
Mindless Self Indulgence,9,52.2
Swattrex,6,52.2
NICO Touches the Walls,6,52.2
Zayde Wølf,12,52.2
The Libertines,7,52.1
sadeyes,9,52.1
Leeland,7,52.1
Ever So Blue,10,52.0
Thirty Seconds To Mars,21,52.0
Terence Lam,14,52.0
Y.V.E. 48,12,51.9
for KING & COUNTRY,26,51.9
Murilo Huff,26,51.8
Yuvan Shankar Raja,32,51.8
Billy Idol,6,51.8
Videoclub,10,51.8
Paramore,22,51.8
Arch Enemy,15,51.8
Martin Garrix,10,51.8
Linkin Park,133,51.8
Bailey Jehl,6,51.8
Jolin Tsai,7,51.7
Mayday,15,51.7
Daughtry,22,51.7
Disney Peaceful Piano;Disney,6,51.7
Tep No,7,51.7
Lund,14,51.7
Super Simple Songs,36,51.7
A Rocket To The Moon,6,51.7
The Velvet Underground,9,51.7
Ricky Nelson,10,51.6
LUDMILLA,7,51.6
Bombay Jayashri,10,51.6
Ingrid Michaelson,8,51.6
Gen Hoshino,7,51.6
Jon Caryl,6,51.5
LaLa Hsu,8,51.4
Nora En Pure,15,51.4
Supertramp,8,51.3
Sodagreen,9,51.3
Jagjit Singh,12,51.3
Leo Sayer,6,51.3
Elliott Jacqués,6,51.3
Finding Hope,11,51.3
Peter Sandberg,8,51.3
Alka Yagnik;Udit Narayan,18,51.2
Poshlaya Molly,15,51.2
Nora Van Elken,15,51.2
Rascal Flatts,6,51.2
JPEGMAFIA,23,51.1
Death Grips,14,51.1
Bethel Music;Jenn Johnson,8,51.1
Gojira,32,51.1
Crystal Castles,9,51.1
The Mayries,10,51.1
A Great Big World,7,51.1
Tenth Avenue North,7,51.0
Joker Xue,9,51.0
kizaru,9,51.0
Oh The Larceny,6,51.0
Eddie Vedder,16,51.0
I AM THEY,12,50.9
44phantom,8,50.9
Porter Robinson,20,50.9
Charlotte de Witte,9,50.8
PHARAOH,10,50.8
Toddler Tunes,6,50.8
Canyon City,10,50.8
Anuradha Paudwal;Kumar Sanu,13,50.7
Modern Talking,22,50.7
Alter Bridge,33,50.7
Teide,7,50.6
Don Williams,10,50.6
Meshuggah,10,50.5
SLANDER;Dylan Matthew,6,50.5
Air,15,50.5
White Noise Baby Sleep,10,50.4
Fetty Wap,10,50.4
Red,7,50.4
Acid Ghost,8,50.4
Bee Gees,30,50.4
Hillsong Worship;TAYA,9,50.3
Aitana,9,50.3
Dream Note,7,50.3
D.O.D,6,50.3
The Local Train,13,50.2
We Came As Romans,14,50.1
Tove Lo,49,50.1
Yuki Hayashi,8,50.1
Kensuke Ushio,9,50.1
Queen,8,50.0
Shakin' Stevens,6,50.0
Boards of Canada,16,50.0
Lamb of God,40,50.0
Lifehouse,12,50.0
Boney M.,25,49.9
Hins Cheung,15,49.9
Harry Gregson-Williams,9,49.9
Hiroyuki Sawano,37,49.9
Abel Korzeniowski,8,49.9
Natural White Noise Relaxation,9,49.8
SiM,6,49.8
ONE OK ROCK,25,49.8
Syn Cole,9,49.8
Max Richter,16,49.7
Ben Platt,23,49.6
Alka Yagnik;Kumar Sanu,11,49.6
Jóhann Jóhannsson,16,49.6
Hayd,11,49.5
Ice Cube,6,49.5
RADWIMPS,26,49.5
CoComelon,122,49.4
Bicep,11,49.4
Us The Duo,9,49.4
Jarabe De Palo,6,49.3
Nicky Romero,6,49.3
Sky Ferreira,6,49.2
Leehom Wang,6,49.2
Hebe Tien,10,49.2
Secret Garden,8,49.1
Wage War,16,49.1
David Tao,14,49.1
JJ Heller,17,49.1
Eric Reprid,6,49.0
Lane 8,6,49.0
Enrico Sangiuliano,7,49.0
All That Remains,7,49.0
Ilaiyaraaja;S. Janaki,6,49.0
Vismay Patel,9,49.0
Lil Pump,6,49.0
Bleed From Within,7,49.0
Stefanie Sun,11,48.9
Pranish VP,8,48.9
The Mamas & The Papas,7,48.9
YUNGBLUD,34,48.9
Stephan Moccio,11,48.9
Matheus & Kauan,47,48.8
Diego & Victor Hugo,12,48.8
yaeow,14,48.8
Karen Mok,12,48.8
Jesus Culture;Chris Quilala,7,48.7
Anson Seabra,21,48.7
Gusttavo Lima,24,48.7
Sushant KC,6,48.7
Zomboy,6,48.7
Mother Goose Club,13,48.7
Bruno Mars,7,48.6
Within Temptation,15,48.5
Anuradha Paudwal;Udit Narayan,8,48.4
Moderat,14,48.4
Loubet,7,48.3
Trio Parada Dura,6,48.3
Powfu,16,48.3
Edson & Hudson,9,48.3
Kamisa 10,20,48.3
Tribal Rain,6,48.3
Motorama,6,48.3
Nine Inch Nails,23,48.3
Yasuharu Takanashi,16,48.2
Milionário & José Rico,17,48.1
Bruno & Barretto,7,48.1
João Bosco & Vinicius,7,48.1
Eluveitie,11,48.1
Bullet For My Valentine,46,48.1
Teodoro & Sampaio,7,48.0
Kailash Kher;Paresh Kamath;Naresh Kamath,8,48.0
Vertical Worship,7,47.9
Passion;Kristian Stanfill,15,47.9
Ilaiyaraaja,9,47.9
Os Parazim,7,47.9
Drowning Pool,7,47.9
Matt Redman,16,47.9
Jadon Lavik,8,47.8
Cream,9,47.8
Adam Christopher,6,47.8
Westside Connection,6,47.7
Dead By Sunrise,7,47.7
Sandra,6,47.7
Rend Collective,14,47.7
Di Paullo & Paulino,8,47.6
Sajjan Raj Vaidya,13,47.6
Wizkid,11,47.6
KAYDEN,8,47.6
Ícaro e Gilmar,33,47.5
Michael Jackson,16,47.4
Chitãozinho & Xororó,7,47.4
Chico Rey & Paraná,13,47.4
Worakls,14,47.4
Glee Cast;Darren Criss,10,47.4
Os Serranos,6,47.3
Rick & Renner,8,47.3
Clayton & Romário,14,47.3
Sorriso Maroto,60,47.3
Ashu Shukla,6,47.3
Tristam,6,47.3
Hadise,7,47.3
Children Of Bodom,16,47.3
fenekot,17,47.3
Janice Vidal,9,47.3
Jefferson & Suellen,7,47.3
Kato,56,47.3
Mayck & Lyan,6,47.2
Léo & Raphael,9,47.2
Racionais MC's,11,47.2
Emancipator,13,47.1
No Party For Cao Dong,10,47.1
Jasleen Royal,10,47.1
Skeng,8,47.0
Khalil Fong,7,47.0
Frei Gilson,8,47.0
ZZ Top,7,47.0
Soundgarden,12,47.0
Ray Charles,9,46.9
Shane & Shane,16,46.8
Hillsong Worship;Brooke Ligertwood,23,46.8
Bhuvan Bam,6,46.8
ILLENIUM,6,46.8
Kid Travis,12,46.8
C AllStar,6,46.8
Serhat Durmus,11,46.7
Amado Batista,11,46.7
Lauana Prado,21,46.7
Gustavo Mioto,14,46.7
Belo,16,46.7
Rodriguinho,6,46.7
Mc Kevin,9,46.7
Sean Paul,22,46.7
Fernando & Sorocaba,7,46.6
MORADA,10,46.6
Skylar Grey,14,46.6
Kate Bush,13,46.6
Jan Blomqvist,11,46.6
KOHTA YAMAMOTO,8,46.6
Detonautas Roque Clube,10,46.6
Jonah Baker,13,46.6
Pet Shop Boys,13,46.5
Isak Danielson,11,46.5
Little Dragon,11,46.5
Padre Fábio De Melo,12,46.5
Bruno & Marrone,43,46.4
Taylor Swift,11,46.4
Jeito Moleque,10,46.4
Pixote,16,46.4
Alka Yagnik,15,46.4
Tokyo Machine,7,46.4
Bonobo,39,46.4
Koven,7,46.4
ConeCrewDiretoria,8,46.4
Padre Marcelo Rossi,7,46.4
BigRicePiano,14,46.4
Samuel Kim,29,46.4
Eduardo Costa,20,46.3
Edwin Luna y La Trakalosa de Monterrey,8,46.3
Grupo Clareou,7,46.3
Dimash Qudaibergen,7,46.3
S.H.E,6,46.3
Plini,6,46.3
Mariya Takeuchi,7,46.3
Portishead,19,46.3
Lucas Reis & Thácio,9,46.2
George Henrique & Rodrigo,6,46.2
Simple Plan,12,46.2
Vitinho,22,46.2
Iguinho e Lulinha,19,46.2
Cyndi Lauper,11,46.2
Koe Wetzel,9,46.2
Matogrosso & Mathias,16,46.1
Julio Preciado Y Su Banda Perla Del Pacifico,7,46.1
Anuradha Paudwal,15,46.1
Atitude 67,9,46.1
Dua Lipa,12,46.1
Miriam Yeung,9,46.1
Christian Löffler,9,46.1
Machine Head,11,46.1
Weißes Rauschen HD,47,46.0
Gian & Giovani,7,46.0
Last Child,12,46.0
Grupo Presença,7,46.0
Weval,7,46.0
A-Lin,9,46.0
Yoga Lin,8,46.0
MYST,6,46.0
Indila,21,46.0
Absolute Valentine,6,46.0
Colo de Deus,6,46.0
Enjambre,10,46.0
Stone Temple Pilots,12,46.0
Hoobastank,10,46.0
